title,year,audio_languages,audio_quality,subtitle_languages,encoding,imdb_link,imdb_id
Sling Blade,1996,,,,,https://www.imdb.com/title/tt0117666/,117666
Roman Holiday,1953,,,,,https://www.imdb.com/title/tt0046250/,46250
"Conversation, The",1974,,,,,https://www.imdb.com/title/tt0071360/,71360
Magnolia,1999,,,,,https://www.imdb.com/title/tt0175880/,175880
Almost Famous,2000,,,,,https://www.imdb.com/title/tt0181875/,181875
"Day the Earth Stood Still, The",1951,,,,,https://www.imdb.com/title/tt0043456/,43456
"Streetcar Named Desire, A",1951,,,,,https://www.imdb.com/title/tt0044081/,44081
"Night at the Opera, A",1935,,,,,https://www.imdb.com/title/tt0026778/,26778
Three Colors: Red,1994,,,,,https://www.imdb.com/title/tt0111495/,111495
Ed Wood,1994,,,,,https://www.imdb.com/title/tt0109707/,109707
All the President's Men,1976,,,,,https://www.imdb.com/title/tt0074119/,74119
Brazil,1985,,,,,https://www.imdb.com/title/tt0088846/,88846
"Insider, The",1999,,,,,https://www.imdb.com/title/tt0140352/,140352
"Killing, The",1956,,,,,https://www.imdb.com/title/tt0049406/,49406
Pirates of the Caribbean: The Curse of the Black Pearl,2003,,,,,https://www.imdb.com/title/tt0325980/,325980
21 Grams,2003,,,,,https://www.imdb.com/title/tt0315733/,315733
Shadow of a Doubt,1943,,,,,https://www.imdb.com/title/tt0036342/,36342
Who's Afraid of Virginia Woolf?,1966,,,,,https://www.imdb.com/title/tt0061184/,61184
Being John Malkovich,1999,,,,,https://www.imdb.com/title/tt0120601/,120601
"Exorcist, The",1973,,,,,https://www.imdb.com/title/tt0070047/,70047
Dog Day Afternoon,1975,,,,,https://www.imdb.com/title/tt0072890/,72890
Harvey,1950,,,,,https://www.imdb.com/title/tt0042546/,42546
Mulholland Drive,2001,,,,,https://www.imdb.com/title/tt0166924/,166924
Nosferatu,1922,,,,,https://www.imdb.com/title/tt0013442/,13442
Gandhi,1982,,,,,https://www.imdb.com/title/tt0083987/,83987
12 Monkeys,1995,,,,,https://www.imdb.com/title/tt0114746/,114746
Big Fish,2003,,,,,https://www.imdb.com/title/tt0319061/,319061
"Terminator, The",1984,,,,,https://www.imdb.com/title/tt0088247/,88247
Groundhog Day,1993,,,,,https://www.imdb.com/title/tt0107048/,107048
"Lion in Winter, The",1968,,,,,https://www.imdb.com/title/tt0063227/,63227
This Is Spinal Tap,1984,,,,,https://www.imdb.com/title/tt0088258/,88258
In America,2002,,,,,https://www.imdb.com/title/tt0298845/,298845
Miller's Crossing,1990,,,,,https://www.imdb.com/title/tt0100150/,100150
